recipient,reason,rewardToken,rewardAmount
0xc0A819890303AE6F4ff5D4103eE76F9756661765,ERC20,PYTH,1276.493742
0xf69EA6646cf682262E84cd7c67133eac59cef07b,ERC20,PYTH,1184.579238
0xb91F96b7C62fe4a2301219956Cc023fA7892F0C0,ERC20,PYTH,1162.99786
0x331F150FD9f0dfacf02C4993a093143C0Bb81f26,ERC20,PYTH,1155.091718
0x72ec822bc85551C6a4f5317b6860d0215cF902B6,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,1141.161986
0xE0d710Ee7c6f644190c59920D3240cD6aF4a1bb6,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,1029.713634
0x3a0c69a1d3af0F45e06292A67fd68270a0Cb694A,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,1024.029781
0xf9551c66995eD3Ff9bb05C9Fd7ff148Bd75dc99a,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,1023.048647
0xAbEaA41fd6a7464b1203b24486526b0461a5ceA4,ERC20,PYTH,933.174998
0xBA67C843ad60b38eC3809571b7dFbE9F89348BFB,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,896.150957
0xEa51Ccb352Aea7641fF4D88536F0F06Fd052EF8f,ERC20,PYTH,879.766559
0x582fCeA39b78C9371669Fb0d0448B2aFf7285F00,ERC20,PYTH,877.86959
0xC9ac469a46bC539276E6DB7dD5BDdB8aeD44817A,ERC20,PYTH,842.120367
0xD8de4C018fADB5a0CCcACB3eBd6A3Fe916f224f6,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,837.795809
0x18279b53E9039866f0c5272DDd68B68A5f0e3359,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,812.749272
0x1C3840eF5926683F08b2385A09B87A58b771aA81,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,760.670609
0x485f5df0654c8405d6124821E95F093aDEc1b16b,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,736.482228
0x0437EebE530b24e0f1FA95dcBb78AA0c903b3Cd0,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,718.344101
0xAF3F59f38788f1E60D70AdD0cB10565fB3BAa8dE,ERC20,PYTH,717.544479
0x044c53d8576d4D700E6327c954f88388EE03b8dB,ERC20,PYTH,688.053257
0x9f5e6aF744a137C9feFeeDfb6b706B0640a57673,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,678.964495
0xC87b3359C4f5f1a19bDE219454867E8bAa573c2f,ERC20,PYTH,676.294373
0xE36256F2E0caE6E083E307c5e23E5caA21A16adF,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,650.454593
0x06005605Bc9a8F9c1eCd921775d5073031889880,ERC20,PYTH,613.925204
0x73051a64044FEa61A6100eB0b55C9087BE32ccA3,ERC20,PYTH,607.02815
